Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
Money1,Превышение скорости,Overspeed,Überdrehzahl,Excès de vitesse,Excesso de velocidade,Exceso de velocidad,Velocità eccessiva,Depășire viteză,Aşırı Hız,Przekroczenie prędkości,Překročení rychlosti,과속,超速,超速,Excesso de velocidade
Money2,Объявление станции,Station announcement,Stationsansage,Annonce de station,Anúncio da estação,Anuncio de estación,Annuncio della stazione,Anunț stație,İstasyon anonsu,Ogłoszenie stacji,Staniční hlášení,정거장 안내방송,报站,報站,Anuncio de estação
Money3,Cтолкновение с машиной,Collision with the car,Kollision mit einem Waggon,Accident avec une voiture,Colisão com outro veículo,Colisión con el vagón,Incidente con la macchina,Coliziune cu un vagon.,Arabayla çarpışma,Zderzenie,Kolize s vozidlem,차량과 충돌,与列车碰撞,與列車碰撞,Colisão com outro carro
Money4,Cтолкновение,Collision,Kollision,Collision,Colisão,Colisión,Incidente,Coliziune,Çarpışma,Kolizja,Kolize s objektem,충돌,碰撞,碰撞,Colisão
Money5,Раннее прибытие на станцию,Early arrival,Verfrühte Ankunft,Arrivée précoce,Chegou muito cedo em um ponto,Llegada temprana a la parada,Arrivo anticipato alla fermata,Sosire timpurie,Durağa erken varma,Wczesny przyjazd,Brzký příjezd na zastávku,조착,早点,早點,Chegou muito cedo
Money6,Опоздание на остановку,Delayed arrival,Verspätete Ankunft an der Haltestelle,Arrivée tardive,Chegou muito tarde em um ponto,Retraso en la llegada a la parada,Arrivo ritardato alla fermata,Sosire întârziată,Durağa geç varma,Spóźnienie,Zpožděný příjezd na zastávku,연착,误点,誤點,Chegou atrasado 
Money7,Оплата проезда,Fare,Fahrpreis,Tarifs,Tarifa de ônibus,Tarifa,Tariffa,Tarif,Tarife,Opłata,Jízdné,요금,车费,車費,Tarifa
Money8,Пропуск остановки,Not stopping at the station,Haltestelle überfahren,Arrêt manqué,Não parando na estação,Saltar parada,Passare la fermata,Trecut peste stație,Durakta durmayacak,Nie zatrzymałeś się na stacji,Přeskočení zastávky,정거장 무정차 통과,不停站通过,不停站通過,Não parou na estação
SelectLanguage1,"Приветствуем вас в игре Metro Simulator!
Пожалуйста, не забывайте, что игра всё ещё находится в разработке и данная бета версия представляет собой ранний доступ. 
Следите за обновлениями на странице игры в Steam и на страницах студии Kishmish Games.","Welcome to Metro Simulator!
Please, keep in mind that the game is still in development and this is only an early beta version.
Follow our Steam page and KishMish Games pages on social networks to be informed about development news.","Willkommen bei Metro Simulator!
Bitte beachten Sie, dass sich das Spiel noch in der Entwicklung befindet und dies nur eine frühe Beta-Version ist.
Folgen Sie unserer Steam-Seite und den KishMish Games-Seiten in sozialen Netzwerken, um über Neuigkeiten aus der Entwicklung informiert zu werden.","Bienvenue dans Metro Simulator!
Noubliez pas que ce jeu est toujours en développement et que ceci est une version beta.
Suivez nous sur notre page Steam et KishMish Games sur les réseaux sociaux pour être informés sur l’avancée du développement.","Bem vindo ao Metro Simulator!
Por favor, tenha em mente que o jogo ainda está em desenvolvimento e esta é apenas uma versão beta inicial.
Siga a nossa página Steam e as páginas da  KishMish Games nas redes sociais para ser informado sobre as novidades do desenvolvimento. ","¡Bienvenido a Metro Simulator! 
 Por favor, ten en cuenta que el juego se encuentra en desarrollo y esta es una versión beta temprana. 
 Síguenos en nuestras redes sociales KishMish Games y en nuestra página en Steam, para informarte sobre las noticias de desarrollo.","Benvenuto in Metro Simulator!
Per favore, tieni presente che il gioco è ancora in fase di sviluppo e questa è solo una delle prime versioni beta.
Segui le nostre pagine Steam e KishMish Games sui social network per essere informato sulle novità di sviluppo.","Bine ai venit la Metro Simulator! 
Aceasta este versiunea BETA a jocului, acesta aflându-se încă în testări. 
Urmărește-ne pe pagina de Steam și pe rețelele sociale (KishMish Games) pentru a fi la curent cu noile noutăți.","Metro Simulator hoşgeldiniz!
Lütfen unutmayın ki oyun hala geliştirilme aşamasında ve şu anda erken beta sürümündedir.
Gelişim sürecini takip etmek için Steam sayfamızı ve sosyal medyada KishMish Games sayfalarını takip etmeyi unutmayın.","Witamy w Metro Simulator! 
Pamiętaj, że gra jest wciąż w fazie rozwoju i jest to tylko wczesna wersja beta. 
Śledź naszą stronę Steam i strony KishMish Games w mediach społecznościowych, aby otrzymywać informacje o nowościach programistycznych.","Vítejte ve hře Metro Simulator!
Mějte prosím na paměti, že hra je stále ve vývoji, a jedná se o předčasný přístup.
Sledujte stránky Steam a stránky KishMish Games na sociálních sítích a informujte se o novinkách v oblasti vývoje.","Metro Simulator 에 오신 것을 환영합니다!
이 게임은 아직 초기 베타 버전으로 현재 개발중에 있습니다.
개발 소식을 얻으려면 Steam 상점 페이지와 각종 SNS의 KishMish Games 페이지를 참조해주세요.","欢迎来到地铁模拟！
请注意，这个游戏依然处于开发状态，而这个版本也是早期测试版本 
关注我们团队的Steam主页以及在社交平台上的KishMish Games帐号来获取更多关于游戏开发的信息吧！","歡迎來到地鐵模擬！
請註意，這個遊戲依然處於開發狀態，而這個版本也是早期測試版本 
關註我們團隊的Steam主頁以及在社交平臺上的KishMish Games帳號來獲取更多關於遊戲開發的信息吧！","Bem vindo a Metro Simulator!
Por Favor, tenha em mente que este jogo ainda está em desenvolvimento e esta é apenas uma versão beta antecipada.
Acompanhe nossa página da Steam e  KishMish Games nas redes sociais para se manter informado sobre noticias do desenvolvimento."
SelectLanguage2,Продолжить,Continue,Fortsetzen,Continuer,Continuar,Continuar,Continua,Continuă,Devam,Kontynuuj,Pokračovat,계속,继续游戏,繼續遊戲,Continuar
