Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
Lessons3.1,"Добро пожаловать в депо «Солнцево». В данном сценарии вы научитесь взаимодействию с объектами в депо, ручному и автоматическому построению маршрутов в депо.",Welcome to Solntsevo Depot! You will learn how to interact with Depot objects and set up the routes manually and automatically in this scenario.,"Willkommen im Solntsevo Depot! Hier wirst du lernen, wie du mit Depot-Objekten interagierst und deine Routen manuell eingibst.","Bienvenue dans le dépot de Solntsevo ! Dans ce scénario, vous allez apprendre à interagir avec les éléments du dépot et créer les routes manuellement et automatiquement.",Bem-vindo ao depósito Solntsevo! Você irá aprender como interagir com os objetos do depósito e a configurar as rotas manualmente e automáticamente nesse cenário.,"Bienvenido al depo «Solntsevo». En este escenario usted estudiará como: interactuatuar con los objetos de depo, creár las rutas en depo con sus manos o automáticamente.",Benvenuto nel deposito di Solntsevo! Imparerai come interagire con gli oggetti del deposito e impostare le rotte manualmente (e automaticamente) in questo scenario.,"Bun venit în depoul Solntsevo! În acest scenariu, vei învăța cum să interacționezi cu obiectele din depou și cum să setezi trasee manual și automat.",Solntsevo Deposuna Hoşgeldiniz! Bu senaryoda Depo nesneleriyle nasıl etkileşim kuracağınızı ve rotaları manuel veya otomatik olarak nasıl ayarlayacağınızı öğreneceksiniz.,Witamy w zajezdni Solntsevo! Dowiesz się tutaj jak wchodzić w interakcje z obiektami na zajezdni oraz jak konfigurować trasy ręcznie i automatycznie.,Vítej v depu Solntsevo! V tomto scénáři se naučíš jak pracovat s objekty v depu a manuálně a automaticky vytvářet trasy.,,欢迎来到太阳车辆段！ 您将在本场景中学习在车辆段里如何运用设施以及手动或自动设置路线。,歡迎來到太陽車輛段！ 您將在本場景中學習在車輛段裏如何運用設施以及手動或自動設置路線。,Bem vindo a Depósito Solntsevo ! Você irá aprender a como interagir com objetos de Depósito e a como ajustar as rotas manualmente e automaticamente nesse cenário.
Lessons3.2,"Сперва, попробуем вручную построить маршрут. Для этого вам необходимо выйти из здания. Наведите курсор на любые из ближайших ворот. По нажатию на {0:N1} ворота откроются.","First of all, let’s try to build a route. We’re going to go outside to do this. Point your mouse at any gate and press {0:N1} to open it.","Lass uns nun versuchen, eine Route zu erstellen. Gehe dazu  nach draußen! Gehe zu einem Tor und drücke {0:N1} um es zu öffnen!","Pour commencer, faisons un chemin. Pour cela, nous devons nous rendre à l'extérieur. Pointer le curseur vers n'importe quelle porte et appuyez sur le bouton {0:N1} gauche de la souris pour l'ouvrir.","Mas primeiro, vamos elaborar a rota. Nós temos que ir para fora para isso. Mire seu mouse em qualquer portão e pressione {0:N1} para abrir-lo.","Primero, vamos a construir la ruta con nuestros manos. Para eso usted tiene que salir del edifico. Pase el cursor sobre las puertas cercanas. Al hacer clic en {0:N1} las puertas abrarán.","Prima di tutto, iniziamo a «costruire» la rotta. Per questo, andremo fuori. Punta il tuo mouse a qualsiasi cancello e premi {0:N1} per aprirlo.","În primul rând, să încercăm construirea unei traseu. Va trebui să mergem afară pentru a face asta. Pune mouse-ul pe orice poartă și apasă tasta {0:N1} pentru a o deschide.","Her şeyden önce, bir rota oluşturmaya çalışalım. Bunu yapmak için dışarı çıkacağız. Farenizi herhangi bir kapının üzerine getirin ve açmak için {0:N1} tuşuna basın.","Przede wszystkim spróbujmy zbudować trasę. W tym celu wyjdź na zewnątrz. Skieruj mysz na dowolną bramę i naciśnij {0:N1}, aby ją otworzyć.",Nejdříve zkus nastavit trasu. Pujdeme to udělat ven. Klikni myší na bránu a {0:N1} pro otevření.,,首先，让我们尝试创建一条路线。 我们需要到外面去创建。 将鼠标指向任何大门{0:N1}，然后单击左键将其打开。,首先，讓我們嘗試創建一條路線。 我們需要到外面去創建。 將鼠標指向任何大門{0:N1}，然後單擊左鍵將其打開。,"Antes de tudo, vamos tentar construir uma rota. Vamos ter que ia para fora para fazer isso. Aponte seu mouse para qualquer portão é pressione {0:N1} para abrir."
Lessons3.3,"Нам необходимо построить маршрут в правый от портала тупик. Порталом называется уличная часть тоннеля, ведущая на линию. Пройдитесь пешком до тупика, попутно переключая стрелки в правильном направлении. Номера стрелок указаны на переводном механизме.",We need to build a route to the dead end to the left of the portal. Portal is a part of the tunnel which leads to the line. Walk to the dead end and switch the arrows correctly. Numbers of arrows are shown on the switch mechanism.,"Wir müssen nun eine Route erstellen, die zum Prellbock links neben dem Portal. Das Portal ist teil des Tunnels, und verbinden das Depot mit der Linie. Laufe zum Prellbock, und setze die Weichen. Auf dem Weichen-Mechanismus siehst du Pfeile und Nummern.",Nous devons créer un chemin partant de la fin de la ligne jusqu'au portail. Le portail est la partie du tunnel qui mène au rest de la ligne. Marchez jusqu'à l'impasse et paremétrez les aiguillages correctement. Les numéros d'aiguilles sont affichés sur le mécanisme de l'aiguillage.,Nós precisamos elaborar a rota até do beco sem saída até o portão de entrada à esquerda. O portão de entrada faz parte do túnel que liga a linha. Ande até o beco sem saída e altere as setas corretamente. Os números das setas estão demonstrados no painel abaixo.,Nosotros tenemos que crear la ruta al punto muerto a la derecha del portal. El portal - es parte de la calle de tunnel que conduce a la línea. Pase hasta el punto muerto y cambie la flecha en dirección correcta. Los numeros de flechas estan escritos en el mecanismo.,"Dobbiamo creare una rotta verso il «punto morto» all sinistra del «portale», che porta all'inizio della linea metropolitana. Cammina verso il punto morto e sposta correttamente le frecce. I numeri delle lettere vengono mostrati sullo scambio.",Trebuie să construim un traseu spre capătul stâng al portalului. Portalul este o partea a tunelului care duce spre magistrală. Mergi spre capăt și schimbă macazele corect. Numerotarea macazelor este afișată pe mecanismul de schimbare. ,"Portalın solundaki çıkmaz hat için bir rota yapmamız gerekiyor. Portal, tünelin hatta giden bir parçasıdır. Çıkmaz hatta doğru yürüyün ve okları doğru şekilde değiştirin. Okların sayısı makas mekanizmasında gösterilir.",Musimy stworzyć trasę na ślepy tor z lewej strony portalu. Portal jest częścią tunelu który prowadzi do lini. Przejdź na ślepy tor i przestaw zwrotnice we właściwy sposób. Numery zwrotnic są pokazane przy mechanizmie sterowania.,"Chceme vytvořit trasu do mrtvého konce nalevo od portálu. Portál je část tunelu, která vede k lince. Jdi na mrtvý konec a přepni správně šipky. Čísla šipek jsou zobrazena na přepínacím mechanismu.",,我们需要在大门左侧建立一条通往尽头的路线。大门是通往线路隧道的一部分。 走到尽头并正确切换道岔箭头方向。 道岔箭头数字显示在轉轍器上。,我們需要在大門左側建立一條通往盡頭的路線。大門是通往線路隧道的一部分。 走到盡頭並正確切換道岔箭頭方向。 道岔箭頭數字顯示在轉轍器上。,Nós precisamos montar a rota que leva até ao fim da linha no portal esquerdo. O portal é parte do túnel que leva até a linha. Vá até ao fim da linha e mude as setas ferroviárias corretamente. Os números das setas estão a mostra no mecanismo de troca.
Lessons3.4,"Переключите стрелки 31, 27, 25, 11, 9, 7, 6, 4, 14. Будьте внимательны, некоторые стрелки уже могут быть переключены в нужном направлении. ","Switch arrows 31, 27, 25, 11, 9, 7, 6, 4, 14. Be careful as some of them can already be in the correct position.","Stelle die weichen 31, 27, 25, 11, 9, 7, 6, 4, 14 um, sei aber vorsichtig: Sie könnten teilweise schon gestellt sein.","Paramétrez les aigullages 31, 27, 25, 11, 9, 7, 6, 4 et 14. Attention, certains d'entre eux sont paramétrés correctement.","Altere as setas 31, 27, 25, 11, 9, 7, 6, 14, 14. Tenha cuidado já que algumas podem já estar nas suas devidas posições.","Cambie las flechas de numeros 31, 27, 25, 11, 9, 7, 6, 4, 14. ¡Atencion! Hay flechas que ya estan en dirección correcta.","Scambia le frecce 31, 27, 25, 11, 9 ,7, 6, 4, 14. Fai attenzione, dato che alcune di queste frecce potrebbero essere gia' nella corretta posizione.","Schimbă macazele 31, 27, 25, 11, 9, 7, 6, 4, 14. Atenție, unele macaze pot fi deja puse in poziția corectă!","31, 27, 25, 11, 9, 7, 6, 4, 14 oklarını değiştirin. Bazıları zaten doğru konumda olabilir, o yüzden dikkatli olun.","Przestaw zwrotnice 31, 27, 25, 11, 9, 7, 6, 4, 14. Uważaj, gdyż część z nich może być już ustawiona we właściwy sposób.","Přepni šipky 31, 27, 25, 11, 9, 7, 6, 4, 14. Buď opatrný, něktré z nich jsou již teď ve správné pozici.",,切换箭头31、27、25、11、9、7、6、4、14。要留意，其中一些箭头已经位于正确的位置。,切換箭頭31、27、25、11、9、7、6、4、14。要留意，其中一些箭頭已經位於正確的位置。,"Mude as setas 31, 27, 25, 11, 9, 7, 6, 4, 14. Cuidado, algumas delas já podem estar posicionada de maneira correta."
Lessons3.5,"Теперь, когда стрелки переключены, вам необходимо открыть светофор на разрешающее показание, для этого необходимо навести курсор на светофор и нажать {0:N1}. Если стрелки были переведены верно, то светофор загорится белым огнём.","Now you need to open the traffic light, just point your mouse at it and press {0:N1}. If arrows are set correctly, it will show a white light. ","Nun musst du das Signal einstellen. Zeige einfach mit deiner Maus darauf und drücke {0:N1}. Wenn die Pfeile richtig eingestellt sind, zeigt das Signal ein weißes Licht.","Maintenant, vous devez ouvrir le signal, pointez votre curseur dessus et appuyez sur {0:N1}. Si les aiguillages sont correctement placés, il montrera un feu de couleur blanche.","Agora você precisa abrir o semáforo, apenas mire seu mouse nele e pressione {0:N1}. Se as setas estão devidamente colocadas, uma luz branca irá aparecer.","Ahora, cuando todas las flechas estan en direccón correcta, nosotros podemos encender el samáforo (señal verde o blnaco por que todo depende de caso) , para eso hace un click aqui {0:N1}. Si las flechas se han cambiado en dirección correcta, el semáforo se iluminará con la luz blanca.","Ora devi impostare il segnale, punta il mouse verso il segnale e premi {0:N1}. Se le frecce sono state impostate in modo corretto, il segnale si illuminera', emittendo una luce bianca.","Acum trebuie să deschizi semnalul. Doar fixează mouse-ul pe el și apasă {0:N1}. Dacă macazele sunt puse corect, el va arăta o lumină albă.","Şimdi trafik ışığını açmanız yeterlidir, farenizi üzerine getirip {0:N1} tuşuna basmanız yeterlidir. Oklar doğru şekilde ayarlanırsa, beyaz bir ışık gösterecektir.","Teraz musisz przestawić sygnalizację świetlną. Po prostu najedź kursorem na sygnalizator i wciśnij lewy przycisk myszy {0:N1}. Jeżeli zwrotnice są ustawione właściwie, sygnalizator zaświeci się na biało.","Teď potřebuješ otevřít semafor. Ukaž myší na semafor a zmáčkni {0:N1}. Pokud jsou šipky nastavené správně, zobrazí se ti bílé světlo. ",,现在，您需要打开信号灯，只需用鼠标指向它，然后按左键{0:N1}。 如果箭头设置正确，它将显示白光。,現在，您需要打開信號燈，只需用鼠標指向它{0:N1}，然後按左鍵。 如果箭頭設置正確，它將顯示白光。,"Agora você precisa abrir o semáforo, aponte seu mouse e pressione {0:N1}. Se as setas estão posicionadas corretamente, você verá a luz se tornar branca."
Lessons3.6,"Откройте светофоры Ч-12, Г-1, Д-3. После переключения светофора надо немного подождать. ","Open traffic lights Ч-12, Г-1, Д-3. You’ll have to wait a little after switching them.","Gut gemacht! Mache nun das selbe für Signale Ч-12, Г-1 und Д-3","Ouvrez les signaux Ч-12, Г-1 et Д-3. Vous devrez attendre un peu après les avoir changés.","Abra as luzes de tráfeco Ч-12, Г-1, Д-3. Você terá que esperar um pouco após posicionadas.","Abre los semáforos Ч-12, Г-1, Д-3. Despued de conmutar el semáforo, usted tiene que esperar un poco.","Imposta i segnali Ч-12, Г-1, Д-3 Dovrai aspettare un poco dopo averli impostati.","Deschide semnalele Ч-12, Г-1, Д-3. Va trebui să aștepți puțin după ce le-ai deschis. ","Ч-12, Г-1 ve Д-3 trafik ışıklarını açın. Açtıktan sonra biraz beklemeniz gerekecek.","Przełącz światła Ч-12, Г-1, Д-3. Po ich przestawieniu będziesz musiał chwilę poczekać.","Otevři semafory Ч-12, Г-1, Д-3. Po přepnutí musíš chvíli počkat.",,打开信号灯Ч-12，Г-1，Д-3。 切换好后，您需要稍等片刻。,打開信號燈Ч-12，Г-1，Д-3。 切換好後，您需要稍等片刻。,"Abra os semáforos Ч-12, Г-1, Д-3. Você tem que esperar um pouco após trocá los."
Lessons3.7,"Садитесь в поезд на 3 канаве, не забудьте включить батарею и реверс. УДЕРЖИВАЙТЕ кнопку бдительности ({0:N1}) и проезжайте в правый тупик и остановитесь у таблички «Стоп». Кнопка бдительности должна удерживаться на всей территории депо. Скорость выезда из здания 5-7 км/ч, скорость после светофора «Г» не более 15 км/ч.","Get on the train on 3rd track, and don’t forget to turn on the batteries and reverse switch to «Forward». HOLD the Vigilance button ({0:N1}) and drive to the dead end on the right and stop near the «Стоп» sign. You’ll need to drive at 5-7 km/h while driving out of the building, after «Г» traffic light you’re allowed to drive up to 15 km/h.","Steigen Sie in den Zug auf der 3. Spur und vergessen Sie nicht, die Batterien einzuschalten und auf «Vorwärts» umzuschalten. Halten Sie die Wachsamkeitstaste ({0:N1}) gedrückt, fahren Sie bis zum prellbock und halten Sie in der Nähe des Schilds «Стоп». Sie müssen beim Verlassen des Gebäudes mit 5 bis 7 km / h fahren. Nach dem Signal «Г» dürfen Sie bis zu 15 km / h fahren.","Montez dans le train en voie 3, et n'oubliez pas d'allumer les batteries, et mettre l'inverseur sur «Marche avant». Maintenant le bouton de vigilance ({0:N1}) et conduisez jusqu'à l'impasse à droite, et arrêtez-vous au panneau «Стоп» (stop). Vous devez maintenir une vitesse de 5 à 7 km/h. Quand vouez passerez le signal «Г», vous pourrez accélerer jusqu'à 15km/h.","Suba no trem na terceira faixa e não se esqueça de ligar as baterias e mudar a marcha para «Avançar». Segure o botão de vigilância ({0:N1}) e dirija até o beco sem saída à direita e pare próximo ao sinal «Стоп». Você precisará dirigir entre 5 a 7 km/h enquanto estiver saindo do prédio, após o sinal de trânsito «Г» , você poderá dirigir até 15 km/h.","Sientase en el tren que esta en la puerta de numero 3, recuerda encender la batería e reversa. MANTENED el botón de vigilancia ({0:N1}) pasa al punto muerto a la derecha del portal para cerca de la placa «Стоп». El botón de vigilancia debe ser mantenido en toda la territoria de depo. Velocidad cuando sale del edifico debe ser 5-7 km/h, velocidad después del semáforo «Г» debe ser menos de 15 km/h.","Vai nel treno sulla terza pista, e non dimenticare di accendere le batterie, e di mettere l'invertitore nella posizione «Avanti». TIENI PREMUTO il bottone di Vigilanza ({0:N1}) e guida verso il punto morto sulla destra e fermati vicino al cartello «Стоп»","Intră în trenul de pe linia 3 și nu uita să pornești bateria și să schimbi inversorul în poziția «Înainte». ȚINE APĂSAT butonul Vigilență ({0:N1}) și condu spre capătul din dreapta până la semnul «Стоп». Până la ieșirea din clădire, va trebui să respecți limita de viteză de 5 - 7 km/oră, iar după poți conduce cu maxim 15 km/oră.","3. raydan trene binin ve bataryaları açın. Vitesi ise «İLERİ» ayarına geri getirmeyi unutmayın. Vigilance Emniyet Sistemi düğmesine ({0:N1}) basılı tutun, sağdaki çıkmaz hatta girin ve «Стоп» işaretinin yanında durun. Binanın dışına çıkarken 5 ila 7 km/s arasında bir hızda sürmeniz gerekir. «Г» trafik ışığından sonra 15 km/s hıza kadar çıkabilirsiniz.","Wsiądź do pociągu na trzecim torze. Nie zapomnij włączyć baterii oraz nastawnika na pozycję «Naprzód». Jedź na ślepy tor po prawej stronie ({0:N1}) i zatrzymaj się przy znaku «Стоп». Do czasu wyjechania z budynku musisz poruszać się 5-7km/h. Po zapaleniu się światła «Г», możesz poruszać się z prędkością do 15km/h.","Dostaň vlak na 3. kolej a nezapomeň zapnout baterii a přepínač do pozice «Vpřed». PODRŽ tlačítko bdělost ({0:N1}) a jeď vpravo na mrtvý konec a zastav blízko nápisu «Стоп» . Musíš jet 5-7 km/h přes budovu, po semaforu «Г» můžeš jet až 15km/h.",,在第三条轨道上上车，别忘了打开电源，然后反向切换到前进。 按住司机警惕装置({0:N1})并驶至右侧的尽头，并在Стоп标志附近停下。  离开车辆段时，您需要以5-7 km / h的速度行驶，在Г信号灯亮起后，您才可以以15 km / h的速度行驶。,在第三條軌道上上車，別忘了打開電源，然後反向切換到前進。 按住司機警惕裝置({0:N1})並駛至右側的盡頭，並在Стоп標誌附近停下。  離開車輛段時，您需要以5-7 km / h的速度行駛，在Г信號燈亮起後，您才可以以15 km / h的速度行駛。,"Entre no trem que está na linha 3, e não se esqueça de ligar as baterias e mudar o interruptor reverso para «Frente». SEGURE o botão Vigilância ({0:N1}) e dirija até a plataforma final e pare próximo a placa «Стоп». Você precisa dirigir a 5-7 km/h enquanto dirige para fora do prédio, depois «Г» do semáforo você pode acelerar para 15 km/h."
Lessons3.8,"Смените кабину ({0:N1}) и выйдите из поезда. Постройте вручную маршрут в канаву 16. Для этого вам нужны стрелки 6, 8, 10, 12, 20 и светофоры П-4, М-7, М-5. Обратите внимание, в первую очередь переключаются стрелки и только потом светофоры. Будьте внимательны, некоторые стрелки уже могут быть переключены в нужном направлении. ","Now change the cabin ({0:N1}) and walk out of the train. Build a route to track 16. You’ll need switches 6, 8, 10, 12, 20 and traffic lights П-4, М-7 and М-5. Be careful as some of them can already be in the correct position.","Wechseln Sie nun die Kabine ({0:N1}) und verlassen Sie den Zug. Erstellen Sie eine Route zu Spur 16. Sie benötigen die Weichen 6, 8, 10, 12, 20 und die Ampeln П-4, М-7 und М-5. Sein Sie vorsichtig, da einige von ihnen bereits in der richtigen Position sein können.","Maintenant, changez de cabine ({0:N1}) et sortez du train. Créez un chemin jusqu'à la voie 16. Vous devez paramétrez les aiguilles 6, 8, 10, 12 et 20 et les signaux П-4, М-7 et М-5. N'ouliez pas que certains d'entre eux peuvent être déjà paramétrés correctement.","Agora troque de cabine ({0:N1}) e saia do trem. Crie uma rota para a linha 16. Você precisará das faixas 6, 8, 10, 12, 20 e semáforos П-4, М-7 e М-5. Tenha cuidado, pois alguns deles já podem estar na posição correta.","Cambia la cabina ({0:N1}) e sale desde el tren. Crea la ruta hasta el puerto 16. Para eso usted necesita las flechas de numeros 6, 8, 10, 12, 20 e los semáforos П-4, М-7, М-5. ¡Atencion! Primero cambia la dericción de las flechas y solo despues enciende los semáforos. Algunas flechas ya pueden estar en dirección correcta.","Ora cambia la cabina ({0:N1}) ed esci fuori dal treno. Ora imposta una rotta verso la pista 16. Ti serviranno gli scambi 6, 8, 10, 12, 20 ed i segnali П-4, М-7 e М-5.  Fai attenzione, dato che alcuni degli elencati potrebbero essere gia' nella corretta posizione.","Acum poți schimba cabina ({0:N1}) și poți merge în afara trenului. Construiește un traseu spre linia 16. Va trebui să schimbi macazele 6, 8, 10, 12, 20 și semnalele П-4, М-7 și М-5. Atenție, unele pot fi deja în poziția corectă!","Şimdi diğer kabine geçin ({0:N1}) ve trenden çıkın. 16. ray hattına bir rota çizin. 6, 8, 10, 12, 20 anahtarlarına ve П-4, М-7 ve М-5 trafik ışıklarına ihtiyacınız olacak. Bazıları zaten doğru konumda olabilir, o yüzden dikkatli olun.","Zmień teraz kabinę ({0:N1}) i wyjdź z pociągu. Stwórz trasę do toru 16. Musisz ustawić zwrotnice 6, 8, 10, 12, 20 oraz sygnalizatory П-4, M-7 oraz M-5. Uważaj, część z nich może już być właściwie ustawiona.","Nyní změň kabinu ({0:N1}) a jdi ven z vlaku. Vytvoř trasu na kolej 16. Musíš přepnout 6, 8, 10, 12, 20 a semafory П-4, М-7 a М-5. Buď opatrný, některé z nich jsou již teď ve správné pozici.",,现在({0:N1})，换到另一个驾驶室，然后离开列车。 建立一条到16号轨道的路线。您将需要切换道岔6、8、10、12、20和交通灯П-4、М-7、М-5。 要留意，其中一些已经调整好了。,現在({0:N1})，換到另一個駕駛室，然後離開列車。 建立一條到16號軌道的路線。您將需要切換道岔6、8、10、12、20和交通燈П-4、М-7、М-5。 要留意，其中一些已經調整好了。,"Agora mude de cabine ({0:N1}) e vá para fora do trem. Planeje uma rota para a linha 16. Você precisa trocar as setas 6, 8, 10, 12, 20 e os semáforos П-4, М-7 e М-5. Tenha cuidado pois alguns deles já podem estar na posição correta."
Lessons3.9,"Вернитесь в поезд, поднявшись по лестнице у двери в кабину машиниста.",Now get back into the train using the ladder leading to the cabin.,"Gehen sie nun zurück in die Kabine, indem sie die Trittstufen benutzen.","Maintenant, remontez dans le train en utilisant l'échelle donnant sur la cabine.",Agora volte para o trem usando a escada principal para a cabine.,"Vuelve al tren, subiendo las escaleras en la puerta de la cabina del maquinista.","Ora rientra nella cabina, usando la scala.","Acum, mergi înapoi în tren, folosind scara care este lângă cabină.",Şimdi kabine giden merdiveni kullanarak trene geri dönün.,Teraz wsiądź spowrotem do pociągu za pomocą drabiny prowadzącej do kabiny.,Teď se vrať do vlaku použitím scodů vedoucích ke kabině.,,现在，通过梯子回到列车驾驶室上。,現在，通過梯子回到列車駕駛室上。,Agora entre de volta no trem usando a escada usando a escada que sobe até a cabine.
Lessons3.10,Поезжайте в 16 канаву и остановитесь у знака «8» передней части депо.,Drive to track 16 and stop near «8» sign.,Fahren sie zum Gleis 16 und halten sie in der Nähe des «8» Schildes,Conduisez jusqu'à la voie 16 et arrêtez vous prêt du panneau «8».,Dirija até a linha 16 e pare perto da placa «8».,"Recorre se y entra en la puerta 16, luego pare cerca de signo «8».",Guida verso la pista 16 e fermati vicino al cartello ,Mergi spre linia 16 și oprește-te lângă semnul «8».,16 no'lu ray hattına gidin ve «8» işaretinin yanında durun.,Jedź do toru 16 i zatrzymaj się w pobliżu znaku «8».,Jeď ke koleji 16 and a zastav u nápisu  «8».,,驶至16号轨道并停在«8»标志附近。,駛至16號軌道並停在«8»標誌附近。,Dirija até a linha 16 e pare próxima a placa «8».
