Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
Lessons2.1,"Сегодня мы научимся оборачивать состав в тупике. В ходе этого обучения вы узнаете, как выходить из поезда, переводить стрелки и менять кабину.","Now we are going to learn about turning the train in a dead end. After this tutorial you will know how to leave the train, use switch arrows and move between the cabins.","In diesem Tutorial lernen Sie den Zug in eine Sackgasse zu manovrieren, den Zug zu verlassen, Weichen stellen und zwischen den Kabinen wechseln.","Maintenant, nous allons apprendre à retourner le train à une une voie de retournement. Après ce tutoriel, vous saurez comment quitter le train, utiliser les aiguillages et naviguer entre les cabines.","Agora vamos aprender como manobrar o trem em um beco sem saída. Após este tutorial, você saberá como sair do trem, usar as setas do interruptor e mover-se entre as cabines.","Ahora aprenderemos a girar el tren en las toperas. Al finalizar este tutorial sabrás cómo salir del tren, usar las flechas de desvío y moverte entre las cabinas.","Ora impareremo a spostare il treno in un vicolo cieco. Dopo questo tutorial saprai come lasciare il treno, usare le frecce degli interruttori e spostarti tra le cabine.","Acum vom învăța despre rebrusarea trenului la capătul de linie. După acest tutorial, vei ști cum să părăsești trenul, cum să folosești săgețile care schimbă macazele și cum să schimbi cabinele.","Şimdi treni nasıl çıkmaz yola götüreceğimizi öğreneceğiz. Bu eğitimden sonra trenden nasıl çıkacağınızı, makas oklarını nasıl kullanacağınızı ve son olarak kabinler arasında nasıl hareket edeceğinizi öğreneceksiniz.","Teraz będziemy uczyć się na temat zawracania pociągu na końcu trasy. Po tym samouczku, będziesz wiedział jak opuścić pociąg, przestawiać zwrotnice oraz poruszać się między kabinami.","Teď se dozvíte o tom, jak otočit vlak na slepé koleji. Po tomto tutoriálu budete vědět, jak opustit vlak, použít přepínač šipky a pohybovat se mezi kabinami.","이제 회차선에서 열차의 방향을 돌리는 법을 알아봅시다. 이 튜토리얼에서 열차에서 내리는 법, 선로 전환, 운전실 이동에 대해서 배우게 됩니다.",现在我们要学习如何把列车开进存车线  在本教程之后，您将知道如何离开列车，如何更改道岔来改变行车路线，以及如何前往各个车厢。,現在我們要學習如何把列車開進存車線 在本教程之後，您將知道如何離開列車，如何更改道岔來改變行車路線，以及如何前往各個車廂。,"Ágora aprenderemos como dar meia volta com o trêm numa rota sem saída. Após esse tutorial você vai aprender como sair do trêm, usar o interruptor ferroviário e se mover entre as cabines."
Lessons2.2,"Сейчас мы находимся на первом пути станции Раменки. Наша задача – обернуть состав и выехать на второй путь. Сначала сделаем стандартные действия для того, чтобы сдвинуть состав с места. Включите батареи {0:N1}, а затем переведите реверс {1:N1} в положение «Вперед».","Now we are on the first track on Ramenki station. Our task is to turn the train and get to the second track. Firstly, let’s do some standard actions to get the train moving. Turn on the batteries ({0:N1}) and move the reverse switch to «Forward» ({1:N1}).","Jetzt sind wir auf der ersten Gleis des Bahnhofs Ramenki. Unsere Aufgabe ist es, den Zug zu wenden und zum zweiten Gleis zu gelangen. Lassen Sie uns zunächst einige Standardaktionen ausführen, um den Zug in Bewegung zu setzen. Schalten Sie die Batterien ein ({0:N1}) und stellen Sie den Rückwärtsschalter auf «Vorwärts» ({1:N1}).","Nous sommes maintenant à la station Ramenki. Notre objectif est de retourner le train et d'entrer dans la voie secondaire. Pour pouvoir déplacer le train, faisons d'abord des actions simples. Allumez les batteries ({0:N1}) et déplacez la manette d'inverseur sur «Marche avant» ({1:N1}).","Agora estamos na primeira faixa da estação Ramenki. Nossa tarefa é virar o trem e chegar à segunda pista. Em primeiro lugar, vamos fazer algumas ações padrão para mover o trem. Ligue as baterias ({0:N1}) e mova o interruptor de inversão para «Avançar» ({1:N1}).",Estamos en el primer carril de la estación Ramenki. Nuestra tarea es girar el tren e ingresar al segundo carril. En primer lugar haremos unas acciones básicas para poner el tren en movimiento. Enciende las baterías ({0:N1}) y mueve el controlador inverso a la posición «Avanzar» ({1:N1}).,"Ora siamo sulla prima traccia della stazione Ramenki. Il nostro compito è quello di muovere il treno e raggiungere la seconda traccia. Innanzitutto, facciamo alcune azioni standard per far muovere il treno. Accendere le batterie ({0:N1}) e spostare l'interruttore di retromarcia su «Avanti» ({1:N1}).","Acum suntem pe prima linie spre stația Ramenki. Obiectivul nostru este să rebrusăm trenul și să ajungem pe a doua linie. Pentru început, hai să începem cu acțiunile standard de pornire a trenului. Pornește bateria ({0:N1}) și apasă butonul pentru direcția „Înainte” ({1:N1}).","Şimdi Ramenki istasyonunun ilk hattındayız. Görevimiz treni döndürmek ve ikinci hatta geçmek. İlk olarak, standart prosedürler ile başlayalım ve treni harekete geçirelim. Bataryaları açın ({0:N1}) ve vites kontağını «İLERİ» 'ye alın ({1:N1}).","Jesteśmy na torze pierwszym stacji Ramenki. Naszym zadaniem jest zawrócić pociąg i przestawić go na tor drugi. Po pierwsze, podejmijmy podstawowe kroki aby ruszyć pociągiem. Włącz baterie ({0:N1}) oraz przestaw nastawnik jazdy na pozycję «Naprzód» ({1:N1}).","Nyní jsme na první trase na stanici Ramenki. Naším úkolem je otočit vlak a dostat se na druhou kolej. Zaprvé, pojďme udělat několik standardních akcí, abychom se dostali do vlaku. Zapněte baterie ({0:N1}) a přepněte přepínač zpět do polohy «Forward» ({1:N1}).","현재 라멘키역의 1번 선로에 정차중입니다. 우리가 해야할 일은 열차의 방향을 돌리고 2번 선로로 옮겨가는 것 입니다. 먼저, 열차를 움직이기 위한 기본적인 조작부터 해봅시다. 배터리를 켜고({0:N1}) 역전간을 전진 위치에 두세요({1:N1}).",现在我们正在拉缅基站的第一条轨道上  我们的任务是让列车转向并进入第二轨道  首先，让我们先来学习如何发动列车 打开电源开关({0:N1})并将档位拨至“前进” ({1:N1})。,現在我們正在拉緬基站的第一條軌道上 我們的任務是讓列車轉向並進入第二軌道 首先，讓我們先來學習如何發動列車 打開電源開關({0:N1})並將檔位撥至“前進” ({1:N1})。,"Ágora estamos na faixa um da estação Ramenki. Nossa missão é mudar o trêm para a segunda faixa. Primeiramente, vamos fazer o básico para trêm começar a andar. Ligue as baterias ({0:N1}) e mude o interruptor de ré para «Frente» ({1:N1})."
Lessons2.3,"В режиме сценариев путь бывает приготовлен заранее – все стрелки переведены так, чтобы вы смогли заехать в тупик. Сейчас это придется сделать вручную. Для начала подвиньте поезд ближе к следующему светофору.  ","In scenarios mode the track can be prepared beforehand – all switch arrows can be set in a way that allows you to get to a dead end without additional actions. Now we will have to do it ourselves. Firstly, drive a little closer to the next traffic light.","Im Szenario-Modus kann die Gleisbelegung im voraus eingestellt werden. Alle Weichenpfeile sind so eingestellt, dass Sie ohne weitere Aktionen in eine Sackgasse landen können. Jetzt müssen wir die Weiche selbst stellen. Fahren Sie zunächst etwas näher an die nächste Ampel.","Dans le mode “Scénario”, les voies peuvent être préparées à l’avance – tous les aiguillages peuvent être paramétrés pour vous créer un chemin vous amenant à une voie de retournement sans aucune autre action requise. Nous allons devoir le faire nous même dans le cas présent. Tout d’abord, rapprochez-vous du prochain signal.","No modo de cenários, a pista pode ser preparada antecipadamente - todas as setas de troca podem ser configuradas de maneira a permitir que você chegue a um beco sem saída, sem ações adicionais. Agora vamos ter que fazer isso sozinhos. Em primeiro lugar, dirija um pouco mais perto do próximo semáforo.","En el modo de escenarios la ruta puede prepararse de antemano, todas las flechas de desvíos pueden ser configuradas de tal modo que te permitan llegar a la topera sin acciones adicionales. Ahora tendremos que hacerlo nosotros mismos. En primer lugar conduce hasta acercarte al siguiente semáforo.","In modalità scenari la traccia può essere preparata in anticipo - tutte le frecce degli interruttori possono essere impostate in modo tale da permetterti di raggiungere un vicolo cieco senza ulteriori azioni. Ora dovremo farlo da soli. In primo luogo, guidare un po 'più vicino al semaforo successivo.","În modul scenariu, traseul poate fi pregătit dinainte - toate săgețile care schimbă macazele pot fi setate în așa fel încât să îți permită să ajungi la capătul liniei fără a face alte lucruri. Acum va trebui să facem asta pe cont propriu. Mai întâi, apropiete puțin de următorul semnal.",Senaryo modunda hat önceden ayarlanabiliyor ve bütün makas okları çıkmaza gidecek şekilde herhangi bir ekstra uğraş gerektirmeden ayarlanabiliyor. Şimdi bunları kendimiz yapmalıyız. İlk olarak sonraki trafik lambasına yaklaş.,"W trybie scenariuszy, trasa może być uprzednio przygotowana - wszystkie zwrotnice mogą być ustawione w sposób który pozwoli Ci dotrzeć do końca trasy bez podejmowania dodatkowych czynności. Teraz będziemy musieli zrobić to sami. Po pierwsze, podjedź trochę bliżej do najbliższego sygnalizatora.","V režimu scénáře může být trať připravena předem - všechny šipky spínače mohou být nastaveny tak, aby bylo možné dostat se na slepou kolej bez dalších úkonů. Teď to budeme muset udělat sami. Nejdříve jeďte trochu blíže k dalšímu semaforu.","시나리오 모드에서는 별도의 조작없이 회차선에 들어갈 수 있도록 선로가 자동으로 전환됩니다.
 지금은 직접 조작해봅시다. 먼저, 다음 신호기까지 조금 가까이 가봅시다.",在场景模式中，所有准备已经做好 - 所有道岔都被设置完毕，您可以在没有额外操作的情况下到达存车线  而此刻我们必须自己做一次  首先，将列车驶至下一个信号灯的位置。,在場景模式中，所有準備已經做好 - 所有道岔都被設置完畢，您可以在沒有額外操作的情況下到達存車線 而此刻我們必須自己做一次 首先，將列車駛至下一個信號燈的位置。,"No modo cenários as faixas podem ser pré preparadas - todos os interruptores ferroviários podem ser ajustados de maneira que você não necessite tomar ações secundarias para chegar ao fim da linha. Agora teremos que fazer isso nós mesmos. Primeiramente, diriga-se mais perto do próximo farol de tráfego"
Lessons2.4,"Перед вами первая стрелка. Зеленым отмечено направление, по которому переведена стрелка. Вам нужно перевести её в другую сторону – в тупик. Иногда потребуется также перевести следующие стрелки, но сейчас они уже подготовлены. Обратите внимание, что если какая-либо из стрелок переведена неверно и не образует правильный въезд в тупик или выезд из него, то светофор будет показывать красный сигнал. Также запрещающий сигнал светофора будет показываться, если тупик уже занят другим поездом.","Now you have the first switch arrow in front of you. The direction of the arrow is indicated with green. You need to switch it to another direction – to the dead end. Sometimes you will have to switch some next arrows, but now they are set properly. Don’t forget that traffic light will be red if some switch arrows are set improperly. Also, you will see the red light if there is another train in the dead end.","Jetzt haben Sie den ersten Weichenpfeil vor sich. Die Pfeilrichtung ist grün markiert. Sie müssen es in eine andere Richtung umschalten - bis zur Sackgasse. Manchmal müssen Sie einige weitere Pfeile wechseln, aber jetzt sind sie richtig eingestellt. Vergessen Sie nicht, dass die Ampel rot ist, wenn einige Schalterpfeile falsch eingestellt sind. Die Ampel ist auch rot, wenn sich ein anderer Zug sich in der Sackgasse befindet.","Maintenant, vous avez le premier aiguillage en face de vous. La direction de l’aiguillage est indiquée en vert. Vous devez déplacer l’aiguillage dans une autre direction – vers la voie de retournement. Il y a quelques fois où vous devrez également déplacer les aiguillages suivants, mais dans le cas présent, ils sont déja correctement paramétrés. N’oubliez pas que le signal restera rouge si certains aiguillages ne sont pas paramétrés correctement. Vous verrez également un signal rouge s’il y a un autre train dans la voie de retournement.","Agora você tem a primeira seta de mudança na sua frente. A direção da seta é indicada com verde. Você precisa mudar para outra direção - para o beco sem saída. Às vezes você terá que mudar algumas setas próximas, mas agora elas estão definidas corretamente. Não se esqueça de que o semáforo ficará vermelho se algumas setas de comutação estiverem configuradas incorretamente. Além disso, você verá a luz vermelha se houver outro trem no beco sem saída.","Ahora tienes la primera flecha de desvío al frente. La dirección de la flecha está indicada en verde. Necesitas cambiarla hacia la otra dirección - hacia el tope (final del carril). A veces tendrás que girar algunas flechas que se encuentran más adelante, pero ahora ya están configuradas correctamente. No olvides que el semáforo se pondrá en rojo si alguna de las flechas de desvío están mal configuradas. También verás la luz roja si hay un tren detenido en la topera.","Ora hai la prima freccia di commutazione di fronte a te. La direzione della freccia è indicata con il verde. Devi passare a un'altra direzione, verso il vicolo cieco. A volte dovrai cambiare alcune frecce successive, ma ora sono impostate correttamente. Non dimenticare che il semaforo sarà rosso se alcune frecce di commutazione non sono state impostate correttamente. Inoltre, vedrai la luce rossa se c'è un altro treno nel vicolo cieco.","Acum ai în fața ta prima săgeatăal unui macaz. Direcția săgeții este indicată cu verde. Trebuie să o schimbi în altă direcție - către capăt. Câteodată, trebuie să schimbi și următoarele macaze, dar acum sunt schimbate corect. Nu uita faptul că semnalul va fi roșu dacă anumite macaze sunt schimbate incorect.  De asemenea, semnalul va fi roșu dacă alt tren se află la capăt.","Şimdi önünde ilk makas oku var. Okun yönü yeşil ile belirtiliyor. Oku başka tersine çevirmelisiniz, çıkmaz yola doğru. Bazen ilerideki makas oklarınıda değiştirmeniz gerekecek, ama şimdilik düzgünce ayarlılar. Unutmayın ki eğer bazı makas okları düzgün ayarlanmazsa trafik ışıkları kırmızı yanacaktır. Ayrıca çıkmaz yolun sonunda başka bir tren varsa da trafik ışıkları yine kırmızı yanacaktır.","Masz przed sobą pierwszą zwrotnicę. Jej ustawienie jest podświetlone na zielono. Musisz zmienić jej ustawienie - na ślepy tor. Czasami będziesz musiał przestawić kolejne zwrotnice, jednak teraz są one ustawione poprawnie. Sygnalizator będzie pokazywał czerwone światło, jeśli zwrotnice będą ustawione niewłaściwie. Także jeśli na kończacym się torze będzie znajdował się inny pociąg, sygnalizator pokaże światło czerwone.","Nyní máte před sebou první šipku přepínače. Směr šipky je označen zelenou barvou. Musíte ho přepnout do jiného směru - na slepou kolej. Někdy budete muset přepnout některé další šipky, ale teď jsou správně nastaveny. Nezapomeňte, že semafor bude červeně svítit, pokud jsou některé šipky přepínače nastaveny nesprávně. Také uvidíte červené světlo, pokud je v slepé uličce další vlak.",이제 바로 앞에 분기기가 있습니다. 분기기가 개통 되어있는 방향은 초록색으로 표시됩니다. 선로를 회차선 방향으로 전환해봅시다. 가끔 다음 분기기도 전환해야하는 경우도 있지만 지금은 제대로 되어있습니다. 선로가 제대로 전환 되어있지 않거나 회차선안에 이미 다른 열차가 있다면 신호기는 적색을 현시합니다.,现在前方有第一个道岔，而绿色箭头表示行驶方向  您需要将其切换至另一个方向 - 往存车线  有时您需要切换一些远端的道岔，不过现在它们已被正确设置所以您不需要担心  如果某些道岔处行驶方向设置不正确，信号灯将会亮红  此外，如果在存车线中还有另一列列车，您也会看到红灯。,現在前方有第一個道岔，而綠色箭頭表示行駛方向 您需要將其切換至另一個方向 - 往存車線 有時您需要切換一些遠端的道岔，不過現在它們已被正確設置所以您不需要擔心 如果某些道岔處行駛方向設置不正確，信號燈將會亮紅 此外，如果在存車線中還有另一列列車，您也會看到紅燈。,"Ágora à sua frente há o primeiro interruptor ferroviário. A direção esta indicada em verde. Você precisa trocar a direção - para o fim da linha. Algumas vezes será necessario mudar os próximos interruptores, mas ágora eles estão da maneira correta. Não se esqueça que as luzes de tráfego estarão vermelhas caso os interruptores de ferroviários estejam na direção errada. As luzes também estarão vermelhas caso haja outro trêm parado no final da linha."
Lessons2.5,"Теперь заезжайте в тупик, соблюдая скоростное ограничение.","Now proceed to the dead end, but keep an eye on speedometer.","Fahren Sie nun bis zur Sackgasse, aber achten Sie auf das Tacho.","Maintenant, avancez vers la voie de retournement, mais gardez un œil sur l’indicateur de vitesse.","Agora vá para o beco sem saída, mas fique de olho no velocímetro.","Ahora procede hasta la topera, ten en cuenta el velocímetro.","Ora vai nel vicolo cieco, ma tieni d'occhio il tachimetro.","Acum pornește spre capăt, dar fii atent la vitezometru.",Şimdi çıkmaz yola doğru ilerleyebilirsiniz ama gözünüz hız göstergesinde olsun. Fazla hızlı gitmek istemeyiz.,Jedź teraz do końca toru. Uważaj jednak na prędkość.,"Nyní pokračujte na slepou kolej, ale dávejte pozor na rychloměr.",이제 회차선으로 진행합시다. 속도계를 주시하세요.,现在驾驶到存车线，请注意不要超速。,現在駕駛到存車線，請註意不要超速。,"Ágora prosiga até o final da linha, porém, mantenha os olhos no velocimetro."
Lessons2.6,"Хорошо, теперь можете остановиться.","Alright, now you can stop.","Okay, jetzt kannst du anhalten.","Très bien, vous pouvez maintenant vous arrêter.","Tudo bem, agora você pode parar.","Bien, ahora puedes detenerte.","Bene, ora puoi fermarti.","Perfect, acum poți opri.","Muhteşem, şimdi durabilirsiniz.","W porządku, możesz się teraz zatrzymać.","Dobře, teď můžete zastavit.",좋습니다. 이제 멈추세요.,很好，现在您可以将列车停下了。,很好，現在您可以將列車停下了。,"Certo, ágora você pode parar."
Lessons2.7,"Хорошо. Теперь нам нужно сменить кабину. Прежде всего, переключите реверс {0:N1} в нейтральное положение. Запомните – это нужно делать обязательно, иначе вы не сможете переключить реверс в другой кабине.","Okay, now we need to go into another cabin. First of all, move the reverse switch to neutral position ({0:N1}). Remember – this is necessary action, otherwise you won’t be able to use reverse switch in another cabin.","Okay, jetzt müssen wir in die Andere Kabine gehen. Bewegen Sie zuerst den Rückwärtsschalter in die neutrale Position ({0:N1}). Denken Sie daran - dies ist eine notwendige Maßnahme, ansonsten können Sie den Zug in der anderen Kabine nicht in Bewegung setzen..","Très bien, maintenant, nous devons nous rendre dans l’autre cabine. Premièrement, déplacez la manette d’inverseur en position Neutre ({0:N1}). Souvenez-vous – cette action est nécessaire, sinon, vous ne pourrez pas utilisez la manette d’inverseur dans une autre cabine.","Ok, agora precisamos ir para outra cabine. Primeiro de tudo, mova o interruptor de reversão para a posição neutra ({0:N1}). Lembre-se: isso é uma ação necessária, caso contrário, você não poderá usar o interruptor reverso em outra cabine.","Bueno, ahora tenemos que ir a la otra cabina. En primer lugar mueve el controlador inverso a la posición Neutral ({0:N1}). Recuerda que esta es una acción necesaria, de otro modo no podrás utilizar el controlador inverso en la otra cabina.","Ok, ora dobbiamo andare in un'altra cabina. Prima di tutto, sposta l'interruttore di retromarcia in posizione neutra ({0:N1}). Ricorda - questa è un'azione necessaria, altrimenti non sarai in grado di utilizzare l'interruttore di retromarcia in un'altra cabina.","Okay, acum trebuie să te duci în cealaltă cabină. În primul rând, mută inversorul în poziție neutră ({0:N1}). Reține - acest lucru este o acțiune necesară, în caz contrar, nu vei putea muta inversorul în poziția «Înapoi» în cealaltă cabină. ","Tamam, şimdi başka bir kabine gitmeniz gerekiyor. İlk olarak vites kontağını «BOŞTA» pozisyonuna getirin ({0:N1}). Unutmayın – bu hareket gerekli, aksi taktirde vites kontağını başka bir kabinde kullanamazsınız.","Musimy udać się teraz do drugiej kabiny. Po pierwsze, ustaw nastawnik na pozycję neutralną ({0:N1}). Pamiętaj, to konieczne, w przeciwnym wypadku nie będziezsz mógł korzystać z nastawnika w drugiej kabinie.","Dobře, teď musíme jít do jiné kabiny. Nejprve přesuňte přepínač zpět do neutrální polohy ({0:N1}). Nezapomeňte - toto je nutná akce, jinak nebudete moci použít přepínač v jiné kabině.",이제 반대편 운전실로 이동해야합니다. 먼저 역전간을 중립으로 맞추세요({0:N1}). 이 작업을 생략할 경우 반대편 운전실에서 역전간을 사용할 수 없습니다.,好，现在我们需要进入另一端的驾驶室  首先，将档位调整至空档 ({0:N1}) 请记住 - 这是必要的操作，否则您将无法在另一边驾驶室中调整档位。,好，現在我們需要進入另一端的駕駛室 首先，將檔位調整至空檔 ({0:N1}) 請記住 - 這是必要的操作，否則您將無法在另一邊駕駛室中調整檔位。,"Ok, ágora precisamos ir para outra cabine. Antes de tudo, posicione o interruptor reverso para a posição neutra ({0:N1}). Lembre-se - esta é uma ação necessária, se não será incapaz de usar o interruptor reverso em outra cabine."
Lessons2.8,"Поменять кабину можно двумя способами. Первый, и самый быстрый – нажмите кнопку {0:N1}.",You can switch the cabins in two ways. First one is fast – just press {0:N1} key.,Sie können die Kabinen auf zwei Arten wechseln. Der erste ist schnell - drücken Sie einfach die Taste {0:N1}.,Vous pouvez changer de cabine de deux façons. La première est rapide – appuyez simplement sur la touche {0:N1}.,Você pode mudar as cabines de duas maneiras. O primeiro é rápido - basta pressionar a tecla {0:N1}.,"Puedes cambiar de cabina de dos maneras. La primera es la más rápida, simplemente presiona la tecla {0:N1}.",Puoi cambiare le cabine in due modi. Il primo è veloce - basta premere il tasto {0:N1}.,Poți schimba cabina în două metode. Prima metodă este cea rapidă - apasă tasta {0:N1}.,İki şekilde kabin değiştirebilirsiniz. Birincisi hızlı olan yöntem – sadece {0:N1} tuşuna basmanız yeterli olacaktır.,Możesz zmieniać kabinę na dwa sposoby. Pierwszy jest szybki - po prostu wciśnij klawisz {0:N1}.,Kabiny můžete přepínat dvěma způsoby. První z nich je rychlá - stačí stisknout klávesu {0:N1}.,"운전실을 바꾸는 방법을 두가지가 있습니다. 먼저, {0:N1}키를 누르세요.",您可以通过两种方式切换驾驶室  第一种是快速切换 - 只需按下{0:N1}。,您可以通過兩種方式切換駕駛室 第一種是快速切換 - 只需按下{0:N1}。,Existem duas maneiras de mudar de cabine. A primeira é bem rápida - pressione a tecla {0:N1}. 
Lessons2.9,"У вас получилось. Вернитесь обратно, снова нажав {0:N1}.",You did it. Now get back by pressing {0:N1} again.,"Du hast es geschafft. Kehre jetzt zurück, indem du erneut {0:N1} drücken.",Vous avez réussi. Maintenant revenez en appuyant sur {0:N1} à nouveau.,Você conseguiu. Agora volte pressionando {0:N1} novamente.,Lo hiciste bien. Ahora regresa presionando nuevamente la tecla {0:N1}.,Ce l'hai fatta. Ora torna indietro premendo {0:N1} di nuovo.,Ai reușit. Acum revino apăsând din nou tasta {0:N1}.,"Tebrikler, başardınız. Şimdi {0:N1} tuşuna basarak geri dönün.",Udało Ci się. Teraz wróć naciskając klawisz {0:N1} ponownie.,Udělal jsi to. Vraťte se opět stisknutím tlačítka {0:N1}.,반대편 운전실에 왔습니다. 다시 돌아가기 위해 {0:N1}키를 누르세요.,漂亮！现在我们按{0:N1}回到原来的驾驶室。,漂亮！現在我們按{0:N1}回到原來的駕駛室。,Muito Bem. Para voltar aperte  pressione {0:N1}.
Lessons2.10,Второй способ медленный. Теперь встаньте с кресла. Для этого нажмите кнопку {0:N1}.,"Another way is slower. Firstly, leave the chair by pressing {0:N1}.",Ein anderer Weg ist langsamer. Verlasse zunächst den Stuhl durch drücken von {0:N1}.,"Il existe une autre façon, plus lente. D’abord, quittez le siège en appuyant sur {0:N1}.","Outra maneira é mais lenta. Em primeiro lugar, deixe a cadeira pressionando {0:N1}.","Otra de las formas es mucho más lenta. En primer lugar, sal de tu asiento presionando la tecla {0:N1}.","Un altro modo è più lento. Per prima cosa, lascia la sedia premendo {0:N1}.","Cealaltă metodă este mai dificilă. Mai întâi, ridică-te de pe scaun, apăsând tasta {0:N1}.",İkinci yol ise daha yavaş. İlk olarak {0:N1} tuşuna basarak koltuktan kalkın.,"Druga metoda jest wolniejsza. Po pierwsze, opuść fotel naciskając klawisz {0:N1}.",Jiný způsob je pomalejší. Nejprve opusťte křeslo stisknutím tlačítka {0:N1}.,다른 방법은 조금 느립니다. {0:N1}키를 눌러 의자에서 일어나세요,另一种方法较为真实 首先，按{0:N1}离开座椅。,另一種方法較為真實 首先，按{0:N1}離開座椅。,"A outra maneira é mais lenta. Primeiro, levante-se da cadeira pressionando {0:N1}."
