Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
MenuMain1,СЦЕНАРИИ,SCENARIOS,SZENARIEN,SCÉNARIOS,CENÁRIOS,ESCENARIOS,SCENARI,Scenarii,SENARYOLAR,SCENARIUSZE,SCÉNÁŘE,시나리오,场景,場景,CENÁRIOS
MenuMain2,НАСТРОЙКИ,OPTIONS,OPTIONEN,OPTIONS,OPÇÕES,AJUSTES,OPZIONI,Opțiuni,AYARLAR,OPCJE,NASTAVENÍ,설정,选项,選項,OPÇÕES
MenuMain3,ВЫХОД,EXIT,VERLASSEN,QUITTER,SAIA DO JOGO,SALIDA,ESCI,Ieșire,ÇIKIŞ,WYJDŹ,ODEJÍT,나가기,退出,退出,SAIR
MenuMain4,НАЗАД,BACK,ZURÜCK,RETOUR,VOLTAR,VOLVER,INDIETRO,Înapoi,GERİ,WRÓĆ,ZPĚT,뒤로가기,返回,返回,VOLTAR
MenuMain5,АВТОРЫ,AUTHORS,AUTOREN,AUTEURS,AUTORES,AUTORES,AUTORI,Autori,GELİŞTİRİCİLER,AUTORZY,AUTOŘI,제작자,作者,作者,AUTORES
MenuMain6,НАЧАТЬ,START,START,COMMENCER,COMEÇAR,COMENZAR,INIZIA,Start,BAŞLA,ROZPOCZNIJ,SPUSTIT,시작,开始,開始,COMEÇAR
MenuMain7,"Для включения или выключения VR режима нажмите V.
Для центрирования нажмите R","Press V to activate or diactivate the VR mode.
Press R to recenter.","Drücken Sie V, um den VR-Modus zu aktivieren oder zu deaktivieren.
Drücken Sie R , um neu zu zentrieren.","Appuyez sur V pour activer ou désactiver le mode RV.
Appuyez sur R pour recentrer.","Pressione V para ativar ou desativar o modo VR.
Pressione R para recentralizar.","Presione V para activar o desactivar el modo VR.
 Presione R para centrar.","Premi V per attivare o disattivare la modalità VR. 
Premi R per ricentrare.",Apasă V pentru a activa sau dezactiva modul VR. Apasă R pentru recentrare.,"Sanal Gerçekliği (VR) Açmak veya Kapatmak için V'ye basınız.
Görüntüyü tekrardan ortalamak için R'ye  basınız.","Naciśnij V, aby włączyć lub wyłączyć tryb VR.
Naciśnij R, aby ponownie ustawić.","Stiskni V pro aktivaci nebo deaktivaci VR režimu.
Stiskni R pro vycentrování.","V를 눌러 VR모드를 키거나 끌 수 있습니다.
R을 눌러 중앙을 정렬하세요.","按V激活或取消激活VR模式 
按R重定位","按V激活或取消激活VR模式 
按R重定位","Precione V pata ativar ou desativar o modo VR.
Precione R para recentralizar."
MenuMain8,ОБУЧЕНИЕ,TUTORIAL,TUTORIAL,TUTORIEL,TUTORIAL,TUTORIAL,TUTORIAL,TUTORIAL,BAŞLANGIÇ EĞİTİMİ,SAMOUCZEK,PRŮVODCE,튜토리얼,教学,教學,TUTORIAL
MenuMain9,Солнцевская линия,Solntsevskaya Line,Solntsevskaya Line,Ligne Solntsevskaya,Linha Solntsevskaya,Línea Solntsevskaya,Linea Solntsevskaya,Linia Solntsevskaya,Solntsevskaya Hattı,Linia Solntsevskaya,Solntsevská linka,솔트세프스카야선,太阳线（Солнцевская линия，8A）,太陽線（Солнцевская линия，8A）,Linha Solntsevskaya
MenuMain10,Управление поездом,Controlling the train,Den Zug kontrollieren,Contrôler le train,Controlando o Trem,Controlar el tren,Controllare il treno,Manipularea trenului,Treni Kontrol Etmek,Sterowanie pociągu,Ovládání vlaku,열차 제어,列车控制,列車控制,Controlando o trêm
