Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
Фары,Фары,Headlights,Scheinwerfer,Phares,Faróis,Faros,Fari,Faruri,Farlar,Reflektory,Světlomety,전조등,列车头灯,列車頭燈,Faróis
Закрытие дверей,Закрытие дверей,Close doors,Türen schließen,Fermer les portes,Fechar as portas,Cerrar puertas,Chiudi le porte,Închidere uși,Kapıları Kapat,Zamykanie drzwi,Zavřít dveře,출입문 닫힘,车门关闭,車門關閉,Fechar Portas
Пуск записи,Пуск записи,Play recording,Ansage abspielen,Jouer l'enregistrement,Iniciar a gravação,Reproducir grabación,Registra,Redă înregistrare,Durak Kaydını Çal,Rozpocznij nagrywanie,Přehrát záznam,안내방송 재생,报站,報站,Tocar Gravação
Сигнал,Сигнал,Horn,Zughorn,Sifflet,Buzina,Bocina,Clacson,Claxon,Korna,Sygnał dźwiękowy,Klakson,경적,喇叭,喇叭,Buzina
Выбрать левые двери,Выбрать левые двери,Select left doors,Wählen Sie die linken Türen aus,Séléctionner les portes de gauche,Selecione as portas da esquerda,Seleccionar las puertas de la izquierda,Seleziona le porte di sinistra,Selectare uși stânga,Sol Kapıları Seç,Wybierz drzwi lewe,Zvolit levé dveře,좌측 출입문 선택,选择左侧车门,選擇左側車門,Selecionar portas da esquerda
Выбрать правые двери,Выбрать правые двери,Select right doors,Wählen Sie die rechten Türen aus,Séléctionner les portes de droite,Selecione as portas da direita,Seleccionar las puertas de la derecha,Seleziona le porte di destra,Selectare uși dreapta,Sağ Kapıları Seç,Wybierz drzwi prawe,Zvolit pravé dveře,우측 출입문 선택,选择右侧车门,選擇右側車門,Selecionar portas da direita
Открыть левые двери,Открыть левые двери,Open left doors,Linke Türen öffnen,Ouvrir les portes à gauche,Abra as portas da esquerda,Abrir las puertas de la izquierda,Apri le porte di sinistra,Deschidere uși stânga,Sol Kapıları Aç,Otwórz drzwi lewe,Otevřít levé dveře,좌측 출입문 열림,开启左侧车门,開啟左側車門,Abrir portas da esquerda
Открыть правые двери,Открыть правые двери,Open right doors,Rechte Türen öffnen,Ouvrir les portes à droite,Abra as portas direitas,Abrir las puertas de la derecha,Apri le porte di destra,Deschidere uși dreapta,Sağ Kapıları Aç,Otwórz drzwi prawe,Otevřít pravé dveře,우측 출입문 열림,开启右侧车门,開啟右側車門,Abrir portas da direita
Восприятие торможения,Восприятие торможения,Braking cancellation,Bremsen abbrechen,Annulation de freinage,Cancelamento de frenagem,Cancelación de freno,Annullamento della frenata,Anulare frână,Fren İptali,Anulowanie hamowania,Rušení brzdění,제동 완해,取消制动,取消制動,Cancelamento de frenagem
Экстренный тормоз,Экстренный тормоз,Emergency brake,Notbremse,Freinage d'urgence,Freio de emergência,Freno de emergencia,Freno di emergenza,Frână de urgență,Acil El Freni,Hamulec awaryjny,Záchranná brzda,비상 제동,紧急制动,緊急制動,Freio de emergência
