Key,Russian,English,German,French,Portuguese,Spanish,Italian,Romanian,Turkish,Polish,Czech,Korean,Chinese,ChineseTraditional,BrazilianPortuguese
PauseMenu1,Маршрут окончен,Route completed,Route abgeschlossen,Route complétée,Rota finalizada,Ruta completada,Itinerario completato,Rută completă,Rota tamamlandı,Trasa zakończona,Trasa dokončena,운행 완료,路线完成,路線完成,Rota Completada
PauseMenu2,ПРОДОЛЖИТЬ,CONTINUE,FORTSETZEN,CONTINUER,CONTINUAR,CONTINUAR,CONTINUA,CONTINUĂ,DEVAM,KONTYNUUJ,POKRAČOVAT,계속하기,继续游戏,繼續遊戲,CONTINUAR
PauseMenu3,Вы успешно завершили сценарий!,You have successfully finished the scenario!,Sie haben das Szenario erfolgreich abgeschlossen!,Vous avez complété le scénario avec succès !,Você terminou com sucesso o cenário!,¡Has terminado con éxito el escenario!,Hai completato lo scenario con successo!,Ai terminat scenariul cu succes!,Senaryoyu başarılı bir şekilde tamamladınız!,Ukończyłeś trasę,Úspěšně jste dokončili scénář!,시나리오를 성공적으로 완료하였습니다!,您已完成这个场景！,您已完成這個場景！,Você concluiu o cenário com sucesso
PauseMenu4,"Поезд сошёл с рельс! Вовремя останавливайтесь в тупиках, внимательно следите за показаниями светофоров и за правильным положением стрелок.",Your train has derailed! Stop in dead ends in time and keep an eye on traffic lights and switch arrows.,"Ihr Zug ist entgleist! Achten Sie auf  Sackgassen, behalten Sie die Ampeln im Auge und wechseln Sie die Weichen (Pfeile).",Votre train a déraillé. Arrêtez vous aux impasses à temps et gardez un œil sur les signaux et les aiguillages.,Você terminou com sucesso o cenário!,¡Tu tren ha descarrilado! Detente en las toperas a tiempo y ten en cuenta los semáforos y las flechas de desvío.,Il tuo treno è deragliato! Fermati negli sbocchi in tempo e tieni d'occhio i semafori e le frecce.,Trenul a deraiat. Oprește la capete în timp și urmărește indicațiile din trafic.,"Treniniz raydan çıktı! Zamanında kavşaklarda durun, trafik ışıklarına ve makas geçişi oklarına dikkat edin.",Twój pociąg się wykoleił! Zatrzymaj się w ślepych zaułkach na czas i miej oko na światła i przełączaj strzałki.,Váš vlak vykolejil! Zastavte ve slepých zakončeních včas a sledujte semafor a přepínací šipky.,열차가 탈선했습니다. 선로 종단 지점에서 적절히 멈추고 선로 방향과 신호를 주의깊게 확인하세요.,您的列车出轨了！您需要在尽头前方及时停住，并留意信号灯及箭头转换。,您的列車出軌了！您需要在盡頭前方及時停住，並留意信號燈及箭頭轉換。,Seu trêm descarrilhou. Pare nos caminhos sem volta a tempo e fique atento as luzes de tráfego e setas do interruptor ferroviário.
PauseMenu5,"Вам не удалось собрать нужное количество очков. Помните, что для успешного окончания маршрута нужно соблюдать график движения, скоростные ограничения и вовремя объявлять станции.","You didn't manage to get enough points. Remember: you need to follow the schedule and observe the speed limit. Also, don't forget to announce stations in time.","Sie haben genug Punkte nicht erreicht. Denken Sie daran den Zeitplan und die Geschwindigkeitsbegrenzungen einzuhalten. Vergessen Sie nicht, die Stationen rechtzeitig anzukündigen.",Vous n'avez pas réussi à obtenir assez de points. Souvenez-vous : vous devez suivre votre planning et prêter attention aux limites de vitesses. N'oubliez pas non plus d'annoncer les stations à temps.,"Você não conseguiu pontos suficientes. Lembre-se: você precisa seguir o cronograma e observar o limite de velocidade. Além disso, não se esqueça de anunciar as estações a tempo.",No lograste obtener suficientes puntos. Recuerda que debes seguir el horario y observar el límite de velocidad. Y no olvides anunciar las estaciones a tiempo.,"Non sei riuscito ad ottenere abbastanza punti. Ricorda: devi seguire il programma e osservare il limite di velocità. Inoltre, non dimenticare di annunciare le stazioni in tempo.","Nu ai obținut suficiente puncte. Reține: trebuie să ții cont de program și de limitele de viteză. De asemenea, nu uita să anunți stațiile la timp. ","Yeteri kadar puan toplamayı başaramadınız. Unutmayın: zaman çizelgesine uymalı ve hız limitini aşmamalısınız. Ayrıca, durakları zamanında anons etmeyi de unutmayın.",Nie udało ci się zdobyć wystarczającej liczby punktów. Pamiętaj: musisz przestrzegać harmonogramu i ograniczenia prędkości. Nie zapomnij też ogłaszać stacji na czas.,"Nepodařilo se vám získat dost bodů. Pamatujte si, že musíte dodržet jízdní řád a dodržovat rychlostní limit. Také nezapomeňte včas oznamovat stanice.",충분한 점수를 얻지 못했습니다. 시간에 맞게 열차를 운전하고 제한 속도를 준수하세요. 또한 적절한 시기에 안내방송을 재생하세요.,您没有得到足够的分数 谨记：您需要按时间表行驶并注意限速。同时，请不要忘记及时报站。,您沒有得到足夠的分數 謹記：您需要按時間表行駛並註意限速。同時，請不要忘記及時報站。,Você não conseguio pontos suficientes. Lembre-se: você precisa seguir o itinerário e observar o limite de velocidade.
PauseMenu6,РЕСТАРТ,RESTART,NEUSTART,RECOMMENCER,REINICIAR,REINICIAR,RICOMINCIA,RESTART,YENİDEN BAŞLAT,RESTART,RESTARTOVAT,재시작,重新开始,重新開始,RECOMEÇAR
PauseMenu7,НАСТРОЙКИ,OPTIONS,EINSTELLUNGEN,OPTIONS,OPÇÕES,AJUSTES,OPZIONI,OPȚIUNI,AYARLAR,OPCJE,NASTAVENÍ,설정,选项,選項,OPÇÕES
PauseMenu8,ВЫХОД,EXIT,VERLASSEN,QUITTER,SAIR,SALIR,USCITA,IEȘIRE,ÇIKIŞ,WYJDŹ,UKONČIT,나가기,退出,退出,SAIR
PauseMenu9,Конец игры,Game over,Game over,Partie terminée,Fim de jogo,Juego terminado,fine del gioco,Sfârșit de joc,Oyun Bitti,Koniec gry,Konec hry,게임 끝,游戏结束,遊戲結束,FIM DE JOGO
PauseMenu10,Вы попали под поезд! Старайтесь держаться на безопасном расстоянии от движущегося поезда.,You have been hit by a train! Try to keep at a safe distance from moving trains.,,Vous avez été percuté par un train! Restez éloigné des trains en mouvement.,Você foi atropelado por um trem! Procure manter uma distância segura da linha férrea.,,,,,"Zostałeś potrącony przez pociąg, pamiętaj, żeby zawsze zachować bezpieczną odległość od jadących pociągów.",,,,,Você foi atropelado por um trem! Procure manter uma distância segura da linha férrea.
